bar_index,datetime_sgt,session,tap1_low,tap2_low,tap3_low,entry_price,sl_price,risk_usd,atr,rsi_at_entry,vol_ratio,rr_target,tp_price,outcome,exit_time,exit_price,bars_held,pnl_pips,pnl_usd
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,1.0,2360.02,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,2.0,2352.64,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
164,2024-04-10 09:00:00+08:00,Pre-London,2357.0,2363.8,2368.8,2367.4,2374.78,7.38,8.36,42.4,0.7,3.0,2345.26,LOSS,2024-04-10 12:00:00+08:00,2374.78,3,-73.8,-7.38
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,1.0,2395.48,WIN,2024-07-25 06:00:00+08:00,2395.48,4,141.2,14.12
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,2.0,2381.36,WIN,2024-07-25 09:00:00+08:00,2381.36,7,282.4,28.24
1817,2024-07-25 01:00:00+08:00,Asian,2410.6,2411.5,2414.4,2409.6,2423.72,14.12,7.24,42.1,2.33,3.0,2367.24,WIN,2024-07-25 11:00:00+08:00,2367.24,9,423.6,42.36
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,1.0,2437.52,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,2.0,2410.74,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
1984,2024-08-05 08:00:00+08:00,Pre-London,2453.1,2465.5,2468.4,2464.3,2491.08,26.78,15.76,29.2,1.07,3.0,2383.96,LOSS,2024-08-05 11:00:00+08:00,2491.08,3,-267.8,-26.78
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,1.0,2680.79,WIN,2024-11-11 09:00:00+08:00,2680.79,8,100.1,10.01
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,2.0,2670.78,WIN,2024-11-11 17:00:00+08:00,2670.78,16,200.2,20.02
3563,2024-11-09 00:00:00+08:00,Asian,2687.3,2689.0,2693.3,2690.8,2700.81,10.01,8.03,33.7,1.16,3.0,2660.77,WIN,2024-11-11 21:00:00+08:00,2660.77,20,300.3,30.03
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,1.0,2679.26,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,2.0,2663.42,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
3790,2024-11-22 21:00:00+08:00,New York,2685.1,2695.8,2699.2,2695.1,2710.94,15.84,8.89,68.2,3.02,3.0,2647.58,LOSS,2024-11-23 02:00:00+08:00,2710.94,5,-158.4,-15.84
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,1.0,2644.41,WIN,2024-12-17 17:00:00+08:00,2644.41,1,150.9,15.09
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,2.0,2629.32,WIN,2024-12-19 03:00:00+08:00,2629.32,34,301.8,30.18
4140,2024-12-17 16:00:00+08:00,London,2651.8,2651.9,2663.7,2659.5,2674.59,15.09,8.78,38.5,2.6,3.0,2614.23,WIN,2024-12-19 04:00:00+08:00,2614.23,35,452.7,45.27
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,1.0,2615.14,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,2.0,2605.28,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
4252,2024-12-24 22:30:00+08:00,New York,2624.9,2627.4,2629.4,2625.0,2634.86,9.86,4.51,43.5,1.37,3.0,2595.42,LOSS,2024-12-25 01:30:00+08:00,2634.86,3,-98.6,-9.86
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,1.0,3246.64,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,2.0,3202.48,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6156,2025-04-28 09:00:00+08:00,Pre-London,3279.8,3298.7,3309.5,3290.8,3334.96,44.16,18.31,43.4,1.45,3.0,3158.32,LOSS,2025-04-28 22:00:00+08:00,3334.96,13,-441.6,-44.16
6442,2025-05-14 19:00:00+08:00,London,3225.2,3227.7,3232.9,3223.7,3248.78,25.08,10.95,31.6,1.33,1.0,3198.62,WIN,2025-05-14 20:00:00+08:00,3198.62,1,250.8,25.08
6442,2025-05-14 19:00:00+08:00,London,3225.2,3227.7,3232.9,3223.7,3248.78,25.08,10.95,31.6,1.33,2.0,3173.54,WIN,2025-05-15 03:00:00+08:00,3173.54,8,501.6,50.16
6442,2025-05-14 19:00:00+08:00,London,3225.2,3227.7,3232.9,3223.7,3248.78,25.08,10.95,31.6,1.33,3.0,3148.46,WIN,2025-05-15 12:00:00+08:00,3148.46,17,752.4,75.24
7778,2025-08-06 09:00:00+08:00,Pre-London,3431.3,3432.3,3432.4,3431.4,3442.36,10.96,7.93,68.9,0.81,1.0,3420.44,WIN,2025-08-06 16:00:00+08:00,3420.44,7,109.6,10.96
7778,2025-08-06 09:00:00+08:00,Pre-London,3431.3,3432.3,3432.4,3431.4,3442.36,10.96,7.93,68.9,0.81,2.0,3409.48,LOSS,2025-08-07 08:00:00+08:00,3442.36,22,-109.6,-10.96
7778,2025-08-06 09:00:00+08:00,Pre-London,3431.3,3432.3,3432.4,3431.4,3442.36,10.96,7.93,68.9,0.81,3.0,3398.52,LOSS,2025-08-07 08:00:00+08:00,3442.36,22,-109.6,-10.96
9003,2025-10-22 07:00:00+08:00,Asian,4093.0,4105.0,4112.4,4106.7,4159.45,52.75,37.49,8.4,0.37,1.0,4053.95,WIN,2025-10-22 08:00:00+08:00,4053.95,1,527.5,52.75
9003,2025-10-22 07:00:00+08:00,Asian,4093.0,4105.0,4112.4,4106.7,4159.45,52.75,37.49,8.4,0.37,2.0,4001.2,LOSS,2025-10-22 13:00:00+08:00,4159.45,6,-527.5,-52.75
9003,2025-10-22 07:00:00+08:00,Asian,4093.0,4105.0,4112.4,4106.7,4159.45,52.75,37.49,8.4,0.37,3.0,3948.45,LOSS,2025-10-22 13:00:00+08:00,4159.45,6,-527.5,-52.75
9004,2025-10-22 08:00:00+08:00,Pre-London,4093.0,4105.0,4112.4,4088.6,4128.59,39.99,41.99,8.1,1.69,1.0,4048.61,LOSS,2025-10-22 09:00:00+08:00,4128.59,1,-399.9,-39.99
9004,2025-10-22 08:00:00+08:00,Pre-London,4093.0,4105.0,4112.4,4088.6,4128.59,39.99,41.99,8.1,1.69,2.0,4008.62,LOSS,2025-10-22 09:00:00+08:00,4128.59,1,-399.9,-39.99
9004,2025-10-22 08:00:00+08:00,Pre-London,4093.0,4105.0,4112.4,4088.6,4128.59,39.99,41.99,8.1,1.69,3.0,3968.63,LOSS,2025-10-22 09:00:00+08:00,4128.59,1,-399.9,-39.99
9719,2025-12-06 00:00:00+08:00,Asian,4245.8,4250.0,4251.4,4244.1,4286.16,42.06,18.51,54.6,4.92,1.0,4202.04,WIN,2025-12-06 05:00:00+08:00,4202.04,5,420.6,42.06
9719,2025-12-06 00:00:00+08:00,Asian,4245.8,4250.0,4251.4,4244.1,4286.16,42.06,18.51,54.6,4.92,2.0,4159.98,TIMEOUT,,,48,59.0,5.9
9719,2025-12-06 00:00:00+08:00,Asian,4245.8,4250.0,4251.4,4244.1,4286.16,42.06,18.51,54.6,4.92,3.0,4117.92,TIMEOUT,,,48,59.0,5.9
10184,2026-01-08 08:00:00+08:00,Pre-London,4432.9,4455.0,4459.9,4459.0,4483.34,24.34,16.27,42.9,0.4,1.0,4434.66,WIN,2026-01-08 13:00:00+08:00,4434.66,5,243.4,24.34
10184,2026-01-08 08:00:00+08:00,Pre-London,4432.9,4455.0,4459.9,4459.0,4483.34,24.34,16.27,42.9,0.4,2.0,4410.32,LOSS,2026-01-09 04:00:00+08:00,4483.34,20,-243.4,-24.34
10184,2026-01-08 08:00:00+08:00,Pre-London,4432.9,4455.0,4459.9,4459.0,4483.34,24.34,16.27,42.9,0.4,3.0,4385.98,LOSS,2026-01-09 04:00:00+08:00,4483.34,20,-243.4,-24.34
10290,2026-01-14 22:00:00+08:00,New York,4624.7,4628.4,4634.1,4624.5,4654.23,29.73,15.06,54.0,2.56,1.0,4594.77,WIN,2026-01-15 09:00:00+08:00,4594.77,10,297.3,29.73
10290,2026-01-14 22:00:00+08:00,New York,4624.7,4628.4,4634.1,4624.5,4654.23,29.73,15.06,54.0,2.56,2.0,4565.04,WIN,2026-01-16 23:00:00+08:00,4565.04,47,594.6,59.46
10290,2026-01-14 22:00:00+08:00,New York,4624.7,4628.4,4634.1,4624.5,4654.23,29.73,15.06,54.0,2.56,3.0,4535.31,TIMEOUT,,,48,287.0,28.7
10593,2026-02-05 10:00:00+08:00,Pre-London,4867.7,4893.9,4936.0,4831.0,5015.16,184.16,66.11,25.6,1.96,1.0,4646.84,LOSS,2026-02-09 07:00:00+08:00,5015.16,43,-1841.6,-184.16
10593,2026-02-05 10:00:00+08:00,Pre-London,4867.7,4893.9,4936.0,4831.0,5015.16,184.16,66.11,25.6,1.96,2.0,4462.68,LOSS,2026-02-09 07:00:00+08:00,5015.16,43,-1841.6,-184.16
10593,2026-02-05 10:00:00+08:00,Pre-London,4867.7,4893.9,4936.0,4831.0,5015.16,184.16,66.11,25.6,1.96,3.0,4278.52,LOSS,2026-02-09 07:00:00+08:00,5015.16,43,-1841.6,-184.16
10672,2026-02-10 20:00:00+08:00,New York,5032.8,5040.0,5059.9,5054.9,5095.89,40.99,30.38,40.5,1.49,1.0,5013.91,LOSS,2026-02-10 22:00:00+08:00,5095.89,2,-409.9,-40.99
10672,2026-02-10 20:00:00+08:00,New York,5032.8,5040.0,5059.9,5054.9,5095.89,40.99,30.38,40.5,1.49,2.0,4972.92,LOSS,2026-02-10 22:00:00+08:00,5095.89,2,-409.9,-40.99
10672,2026-02-10 20:00:00+08:00,New York,5032.8,5040.0,5059.9,5054.9,5095.89,40.99,30.38,40.5,1.49,3.0,4931.93,LOSS,2026-02-10 22:00:00+08:00,5095.89,2,-409.9,-40.99
